(base) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/cs
336_basics$ conda activate cs336
(cs336) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/c
s336_basics$ cd /mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/cs336
_basics
(cs336) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/c
s336_basics$ python train_loop.py
模型参数数量: 22,696,448
训练数据加载完成:
  - 文件路径: ../artifacts/tinystories_train.bin
  - Token 总数: 540,803,381
  - 数据类型: uint16
  - 内存占用: 1031.50 MB (虚拟，实际按需加载)
total_steps: 10000

训练设备: cuda
总训练步数: 10000
评估间隔: 100 步
Step 4420/10000 | Train Loss: 1.9248
Step 4430/10000 | Train Loss: 1.9093
Step 4440/10000 | Train Loss: 1.9147
Step 4450/10000 | Train Loss: 1.7986
Step 4460/10000 | Train Loss: 1.9204
Step 4470/10000 | Train Loss: 1.8495
Step 4480/10000 | Train Loss: 1.8554
Step 4490/10000 | Train Loss: 1.9602
Step 4500/10000 | Train Loss: 1.8827 | Eval Train Loss: 1.9076
Step 4510/10000 | Train Loss: 1.9330
Step 4520/10000 | Train Loss: 1.9377
Step 4530/10000 | Train Loss: 1.8575
Step 4540/10000 | Train Loss: 1.8986
Step 4550/10000 | Train Loss: 1.8818
Step 4560/10000 | Train Loss: 1.8827
Step 4570/10000 | Train Loss: 1.8814
Step 4580/10000 | Train Loss: 1.9028
Step 4590/10000 | Train Loss: 1.8956
Step 4600/10000 | Train Loss: 1.8943 | Eval Train Loss: 1.8627
Step 4610/10000 | Train Loss: 1.8862
Step 4620/10000 | Train Loss: 1.9153
Step 4630/10000 | Train Loss: 1.9120
Step 4640/10000 | Train Loss: 1.8370
Step 4650/10000 | Train Loss: 1.9030
Step 4660/10000 | Train Loss: 1.9065
Step 4670/10000 | Train Loss: 1.8760
Step 4680/10000 | Train Loss: 1.8512
Step 4690/10000 | Train Loss: 1.9222
Step 4700/10000 | Train Loss: 1.9489 | Eval Train Loss: 1.8829
Step 4710/10000 | Train Loss: 1.8776
Step 4720/10000 | Train Loss: 1.8683
Step 4730/10000 | Train Loss: 1.8734
Step 4740/10000 | Train Loss: 1.9142
Step 4750/10000 | Train Loss: 1.8891
Step 4760/10000 | Train Loss: 1.8502
Step 4770/10000 | Train Loss: 1.8621
Step 4780/10000 | Train Loss: 1.8904
Step 4790/10000 | Train Loss: 1.7675
Step 4800/10000 | Train Loss: 1.8784 | Eval Train Loss: 1.8452
Step 4810/10000 | Train Loss: 1.8847
Step 4820/10000 | Train Loss: 1.7897
Step 4830/10000 | Train Loss: 1.8849
Step 4840/10000 | Train Loss: 1.8468
Step 4850/10000 | Train Loss: 1.8717
Step 4860/10000 | Train Loss: 1.8365
Step 4870/10000 | Train Loss: 1.8757
Step 4880/10000 | Train Loss: 1.8532
Step 4890/10000 | Train Loss: 1.8625
Step 4900/10000 | Train Loss: 1.8910 | Eval Train Loss: 1.8632
Step 4910/10000 | Train Loss: 1.8221
Step 4920/10000 | Train Loss: 1.8579
Step 4930/10000 | Train Loss: 1.8782
Step 4940/10000 | Train Loss: 1.8653
Step 4950/10000 | Train Loss: 1.8578
Step 4960/10000 | Train Loss: 1.9239
Step 4970/10000 | Train Loss: 1.7996
Step 4980/10000 | Train Loss: 1.9274
Step 4990/10000 | Train Loss: 1.9184
